packet_count,total_bytes,avg_bytes,iat_mean,anomaly_score
36,5360,148.88888888888889,0.1152573381151471,0.134841129117092
49,7550,154.08163265306123,0.0846315622329711,0.27755329344237445
2,196,98.0,1.9073486328125e-05,0.2057953621538139
34,5164,151.88235294117646,0.1227708513086492,-0.07430838230778108
17,2582,151.88235294117646,0.2507778704166412,0.04840749772481223
15,2386,159.06666666666666,0.0006138597215924,0.04266807702099085
34,5164,151.88235294117646,0.0911659688660592,-0.03149959327020457
17,2582,151.88235294117646,0.0633111894130706,-0.1662263786053425
19,2778,146.21052631578948,0.1127772861056857,0.006380433302124899
32,4968,155.25,0.1312967731106666,0.01927672148316839
17,2582,151.88235294117646,0.0631176829338073,-0.1472349649061916
17,2582,151.88235294117646,0.0632368624210357,-0.16390712396375767
19,2778,146.21052631578948,0.2232107188966539,0.019536929636265188
17,2582,151.88235294117646,0.255109503865242,0.1388699733866422
32,4968,155.25,0.1012110325597947,0.028553747235436244
17,2582,151.88235294117646,0.0633725672960281,-0.16584522948221925
2,196,98.0,2.694129943847656e-05,0.24735567059599972
34,5164,151.88235294117646,0.122717640616677,-0.07198262701145858
34,5164,151.88235294117646,0.1227296988169352,-0.07339284283306263
32,4968,155.25,0.0654594206040905,0.06027909839736545
17,2582,151.88235294117646,0.0632818192243576,-0.1661207617811214
17,2582,151.88235294117646,0.0633260011672973,-0.16531835290101293
17,2582,151.88235294117646,0.068853810429573,-0.046293853077371605
17,2582,151.88235294117646,0.0647025108337402,-0.1475652624985574
19,2778,146.21052631578948,0.1683046685324775,-0.007452273684163957
15,2386,159.06666666666666,0.0006063665662493,0.020998457932443038
17,2582,151.88235294117646,0.0633706897497177,-0.16584522948221925
34,5164,151.88235294117646,0.092216513373635,-0.07606495164152055
19,2778,146.21052631578948,0.1126722229851616,0.0014982531188310055
15,2386,159.06666666666666,0.0005870035716465,0.035206808478503326
17,2582,151.88235294117646,0.0643540620803833,-0.15901028319716531
19,2778,146.21052631578948,0.1684777736663818,-0.024148759058269964
15,2386,159.06666666666666,0.0006153583526611,0.047999138743544334
