packet_count,total_bytes,avg_bytes,iat_mean,iat_std,unique_dst_ip,unique_dst_port,top_dst_port_ratio,anomaly_score
12,1011,84.25,0.2927626263011585,0.6431218434142206,3,3,0.3333333333333333,-0.06926975275448966
16,1348,84.25,0.2683990637461344,0.5828436162185816,3,4,0.25,0.032461668023980095
8,674,84.25,0.3908044270106724,0.9572714353968992,3,2,0.5,-0.08423563079586982
14,1113,79.5,0.2415714630713829,0.5872831612251531,3,3,0.3333333333333333,-0.021544983116729532
8,674,84.25,0.1427857194628034,0.3497521552400534,3,2,0.5,-0.08069538529923959
4,337,84.25,0.0,0.0,3,1,1.0,-0.02193827896686068
4,337,84.25,0.0,0.0,3,1,1.0,-0.02193827896686068
8,674,84.25,0.2734345708574567,0.6608417147131017,3,2,0.5,-0.09960085897673876
14,1113,79.5,0.2990811604719895,0.6445778362797848,3,3,0.3333333333333333,-0.015070616919556967
12,1011,84.25,0.370541897687045,0.9019750889346124,3,3,0.3333333333333333,-0.049037154249726767
8,674,84.25,0.4483471597943987,1.09822176912235,3,2,0.5,-0.10876925152860162
8,674,84.25,0.2907117094312395,0.712095350358785,3,2,0.5,-0.13145144950763704
8,674,84.25,0.1490682874407087,0.3550446554903869,3,2,0.5,-0.08611487391367678
8,674,84.25,0.1484971387045724,0.3532469194868322,3,2,0.5,-0.08800035225389691
