step,packet_count,total_bytes,avg_bytes,iat_mean,iat_std,unique_dst_ip,unique_dst_port,top_dst_port_ratio,anomaly_score,base_threshold,ext_threshold,level,high_risk,consecutive_suspicious,consecutive_extreme,is_extreme,min_packet_gate,phase
90,8,674,84.25,0.14653348922729492,0.35893227883648826,3,2,0.5,-0.08622423249948324,0.146889869525717,0.1900081828313001,NORMAL,False,0,0,False,True,NORMAL
91,8,674,84.25,0.14653348922729492,0.35893227883648826,3,2,0.5,-0.08622423249948324,0.147354474625177,0.1900081828313001,NORMAL,False,0,0,False,True,NORMAL
92,12,1011,84.25,0.3724491162733598,0.9024479196077918,3,3,0.3333333333333333,-0.048708620351011755,0.147726158704745,0.1900081828313001,NORMAL,False,0,0,False,True,NORMAL
93,12,1011,84.25,0.3721765388141979,0.9022509899635722,3,4,0.3333333333333333,-0.000699501455102669,0.1480235059683994,0.1900081828313001,NORMAL,False,0,0,False,True,NORMAL
94,11,930,84.54545454545455,0.2048471450805664,0.40969483909658433,3,3,0.4,-0.013415421297027219,0.1482613837793229,0.1900081828313001,NORMAL,False,0,0,False,True,NORMAL
95,11,930,84.54545454545455,0.2048471450805664,0.40969483909658433,3,3,0.4,-0.013415421297027219,0.14845168602806172,0.1900081828313001,NORMAL,False,0,0,False,True,NORMAL
96,16,1348,84.25,0.27306289672851564,0.5869538241862671,3,4,0.25,0.025975563264160728,0.14860392782705276,0.1900081828313001,NORMAL,False,0,0,False,True,NORMAL
97,12,1011,84.25,0.2793824889443137,0.631130490682375,3,3,0.3333333333333333,-0.06517673889087866,0.1487257212662456,0.1900081828313001,NORMAL,False,0,0,False,True,NORMAL
98,9,755,83.88888888888889,0.2559340000152588,0.6767599482311782,3,3,0.4,-0.05601554521069685,0.14882315601759985,0.1900081828313001,NORMAL,False,0,0,False,True,NORMAL
99,9,755,83.88888888888889,0.3840262293815613,1.0156601056174204,3,3,0.4,-0.025298023743081488,0.14890110381868327,0.1900081828313001,NORMAL,False,0,0,False,True,NORMAL
100,10,797,79.7,0.36990486250983345,0.9584061617144362,3,3,0.4,0.008289164453025522,0.14896346205955,0.1900081828313001,NORMAL,False,0,0,False,True,NORMAL
101,10,776,77.6,0.19905996322631836,0.4789346979761435,3,2,0.5,-0.015661264313391876,0.1490133486522434,0.1900081828313001,NORMAL,False,0,0,False,True,NORMAL
